ASU_Acar ID	RefSeq Gene Description	ASU_Acar Sequence Length (bp)	Best RefSeq Hit Description	NCBI RefSeq ID	E-Value	Percent Similarity	Blast Score	Alignment Length (amino acids)	Positives Matches (amino acids)
ASU.Acar.G.8418	PREDICTED: hypothetical protein LOC100489413 [Xenopus (Silurana) tropicalis]	435	gi|301612812|ref|XP_002935910.1|PREDICTED: hypothetical protein LOC100489413 [Xenopus (Silurana) tropicalis]	XP_002935910	2.09656E-49	52	197.978	400	210	
ASU.Acar.G.8429	female expressed transcript 1	257	gi|45383091|ref|NP_989875.1|female expressed transcript 1 [Gallus gallus]	NP_989875	3.73764E-22	52	106.301	193	101	
ASU.Acar.G.8439	5 -nucleotidase domain-containing protein 1-like	92	gi|327261674|ref|XP_003215654.1|PREDICTED: 5'-nucleotidase domain-containing protein 1-like [Anolis carolinensis]	XP_003215654	6.40904E-50	100	196.438	92	92	
ASU.Acar.G.8467	a-kinase anchor protein 6	75	gi|363734500|ref|XP_003641407.1|PREDICTED: A-kinase anchor protein 6 [Gallus gallus]	XP_003641407	2.36087E-36	100	151.369	75	75	
ASU.Acar.G.8473	beta 1	100	gi|148225049|ref|NP_001087871.1|arrestin, beta 1 [Xenopus laevis]	NP_001087871	1.83734E-52	99	204.912	100	99	
ASU.Acar.G.8474	PREDICTED: hypothetical protein LOC100558303 [Anolis carolinensis]	116	gi|327286208|ref|XP_003227823.1|PREDICTED: hypothetical protein LOC100558303 [Anolis carolinensis]	XP_003227823	2.73787E-56	98	217.624	116	114	
ASU.Acar.G.8488	interleukin-12 p40c subunit	108	gi|224050341|ref|XP_002188482.1|PREDICTED: similar to interleukin-12 p40c subunit [Taeniopygia guttata]	XP_002188482	4.49579E-11	50	67.3958	98	49	
ASU.Acar.G.8498	PREDICTED: testis-expressed protein 14 [Monodelphis domestica]	63	gi|334322401|ref|XP_001365991.2|PREDICTED: testis-expressed protein 14 [Monodelphis domestica]	XP_001365991	5.24946E-15	74	80.4925	63	47	
ASU.Acar.G.8514	uhrf1-binding protein 1-like	115	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	1.16641E-14	63	79.337	115	73	
ASU.Acar.G.8520	PREDICTED: hypothetical protein LOC100588064 [Nomascus leucogenys]	113	gi|332231751|ref|XP_003265058.1|PREDICTED: hypothetical protein LOC100588064 [Nomascus leucogenys]	XP_003265058	1.53403E-6	59	52.373	76	45	
ASU.Acar.G.8529	hiv tat specific factor 1	104	gi|41055136|ref|NP_957497.1|HIV TAT specific factor 1 [Danio rerio]	NP_957497	1.27564E-13	69	75.8702	66	46	
ASU.Acar.G.8534	PREDICTED: hypothetical protein LOC100566687 [Anolis carolinensis]	264	gi|327274859|ref|XP_003222193.1|PREDICTED: hypothetical protein LOC100566687 [Anolis carolinensis]	XP_003222193	3.09674E-152	99	538.495	264	262	
ASU.Acar.G.8618	paralemmin-1-like isoform 1	64	gi|345323915|ref|XP_001506793.2|PREDICTED: hypothetical protein LOC100075279 [Ornithorhynchus anatinus]	XP_001506793	1.52417E-14	95	78.9518	43	41	
ASU.Acar.G.8632	tyrosine non- 2	122	gi|224060607|ref|XP_002192341.1|PREDICTED: similar to tyrosine kinase, non-receptor, 2 [Taeniopygia guttata]	XP_002192341	1.58999E-40	90	165.236	92	83	
ASU.Acar.G.8648	rho guanine nucleotide exchange factor 1	114	gi|301625566|ref|XP_002941974.1|PREDICTED: rho guanine nucleotide exchange factor 1 [Xenopus (Silurana) tropicalis]	XP_002941974	1.57646E-19	59	95.5153	114	68	
ASU.Acar.G.8653	e3 ubiquitin-protein ligase ubr4	119	gi|354498910|ref|XP_003511555.1|PREDICTED: E3 ubiquitin-protein ligase UBR4 [Cricetulus griseus]	XP_003511555	2.73769E-32	91	137.887	74	68	
ASU.Acar.G.8658	e3 ubiquitin-protein ligase ubr4	307	gi|334328280|ref|XP_001377981.2|PREDICTED: e3 ubiquitin-protein ligase UBR4 [Monodelphis domestica]	XP_001377981	4.53938E-140	86	498.434	307	267	
ASU.Acar.G.8667	transmembrane serine 6	98	gi|224095282|ref|XP_002196181.1|PREDICTED: similar to transmembrane protease, serine 6 [Taeniopygia guttata]	XP_002196181	7.54546E-30	91	129.798	70	64	
ASU.Acar.G.8680	coagulation factor xiii a chain-like	54	gi|301613984|ref|XP_002936471.1|PREDICTED: coagulation factor XIII A chain-like [Xenopus (Silurana) tropicalis]	XP_002936471	1.22613E-8	78	59.3066	46	36	
ASU.Acar.G.8681	low quality protein: poly	70	gi|109087968|ref|XP_001098043.1|PREDICTED: poly [ADP-ribose] polymerase 10-like isoform 3 [Macaca mulatta]	XP_001098043	1.3644E-7	67	55.8398	46	31	
ASU.Acar.G.8682	low quality protein: agrin-like	74	gi|45382977|ref|NP_990858.1|agrin [Gallus gallus]	NP_990858	2.14486E-29	87	128.257	74	65	
ASU.Acar.G.8684	N-chimaerin [Gallus gallus]	96	gi|61098446|ref|NP_001012970.1|N-chimaerin [Gallus gallus]	NP_001012970	6.60907E-42	90	169.859	96	87	
ASU.Acar.G.8694	phosphatidylinositol-4-phosphate 5-kinase type-1 gamma-like	54	gi|348550103|ref|XP_003460872.1|PREDICTED: phosphatidylinositol-4-phosphate 5-kinase type-1 gamma-like [Cavia porcellus]	XP_003460872	5.31855E-12	70	70.4774	54	38	
ASU.Acar.G.8698	laminin subunit alpha-5-like	244	gi|327271882|ref|XP_003220716.1|PREDICTED: laminin subunit alpha-5-like [Anolis carolinensis]	XP_003220716	2.44881E-137	99	488.804	240	238	
ASU.Acar.G.8739	exportin-7 isoform 1	167	gi|297299021|ref|XP_002805333.1|PREDICTED: exportin-7-like [Macaca mulatta]	XP_002805333	2.27065E-87	98	321.627	167	165	
ASU.Acar.G.8740	kunitz-type protease inhibitor 1-like	56	gi|327280190|ref|XP_003224836.1|PREDICTED: kunitz-type protease inhibitor 1-like [Anolis carolinensis]	XP_003224836	1.13498E-30	100	132.494	56	56	
ASU.Acar.G.8743	zinc finger protein 420-like	195	gi|334313169|ref|XP_003339833.1|PREDICTED: zinc finger protein 420-like [Monodelphis domestica]	XP_003339833	1.36683E-16	66	87.0409	77	51	
ASU.Acar.G.8749	neuronal pas domain-containing protein 3-like	392	gi|327263651|ref|XP_003216631.1|PREDICTED: neuronal PAS domain-containing protein 3-like [Anolis carolinensis]	XP_003216631	3.66812E-42	50	173.711	315	158	
ASU.Acar.G.8763	60s ribosomal protein l10-like	72	gi|327264270|ref|XP_003216937.1|PREDICTED: 60S ribosomal protein L10-like [Anolis carolinensis]	XP_003216937	5.30556E-28	87	123.635	72	63	
ASU.Acar.G.8777	rho guanine nucleotide exchange factor 10-like	60	gi|334328461|ref|XP_003341081.1|PREDICTED: rho guanine nucleotide exchange factor 10-like protein-like [Monodelphis domestica]	XP_003341081	3.52681E-27	98	120.939	60	59	
ASU.Acar.G.8793	low quality protein: partial	67	gi|327290529|ref|XP_003229975.1|PREDICTED: whirlin-like [Anolis carolinensis]	XP_003229975	2.32588E-31	100	134.806	67	67	
ASU.Acar.G.8807	bile salt export pump-like	89	gi|326922797|ref|XP_003207631.1|PREDICTED: bile salt export pump-like [Meleagris gallopavo]	XP_003207631	6.69196E-39	93	159.844	89	83	
ASU.Acar.G.8818	sh3-domain grb2-like endophilin b2	64	gi|291190534|ref|NP_001167131.1|Endophilin-B2 [Salmo salar]	NP_001167131	3.0711E-15	73	81.2629	60	44	
ASU.Acar.G.8820	elongator complex protein 1-like	124	gi|327286448|ref|XP_003227942.1|PREDICTED: elongator complex protein 1-like [Anolis carolinensis]	XP_003227942	1.679E-66	99	251.521	124	123	
ASU.Acar.G.8821	basement membrane-specific heparan sulfate proteoglycan core protein precursor	346	gi|94536813|ref|NP_001001876.1|basement membrane-specific heparan sulfate proteoglycan core protein precursor [Gallus gallus]	NP_001001876	5.50874E-108	72	392.119	348	254	
ASU.Acar.G.8822	amyloid beta a4 protein precursor	80	gi|27436861|ref|NP_062161.1|amyloid beta A4 protein precursor [Rattus norvegicus]	NP_062161	1.29007E-29	100	129.028	56	56	
ASU.Acar.G.8826	1-phosphatidylinositol- -bisphosphate phosphodiesterase delta-4-like	64	gi|363736288|ref|XP_422063.3|PREDICTED: 1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-4-like [Gallus gallus]	XP_422063	5.58389E-25	93	113.62	64	60	
ASU.Acar.G.8828	neurobeachin-like protein 2	258	gi|363729883|ref|XP_423664.3|PREDICTED: neurobeachin-like protein 2 [Gallus gallus]	XP_423664	6.50843E-91	72	334.724	259	187	
ASU.Acar.G.8833	amyloid beta a4	55	gi|297287715|ref|XP_002803216.1|PREDICTED: amyloid beta A4 protein-like [Macaca mulatta]	XP_002803216	3.65864E-29	100	127.487	55	55	
ASU.Acar.G.8834	dedicator of cytokinesis protein 4	81	gi|363727612|ref|XP_416024.3|PREDICTED: dedicator of cytokinesis protein 4 [Gallus gallus]	XP_416024	3.48938E-43	100	174.096	81	81	
ASU.Acar.G.8838	laminin subunit alpha-1-like	62	gi|327284536|ref|XP_003226993.1|PREDICTED: laminin subunit alpha-1-like [Anolis carolinensis]	XP_003226993	1.42592E-28	98	125.561	62	61	
ASU.Acar.G.8847	cad protein	190	gi|348574279|ref|XP_003472918.1|PREDICTED: CAD protein-like [Cavia porcellus]	XP_003472918	4.17409E-84	88	311.227	190	168	
ASU.Acar.G.8852	limb girdle muscular dystrophy 2b (autosomal recessive) partial	52	gi|326928133|ref|XP_003210237.1|PREDICTED: dysferlin-like [Meleagris gallopavo]	XP_003210237	9.70995E-22	98	102.834	52	51	
ASU.Acar.G.8857	transcription factor coe4-like	52	gi|296200016|ref|XP_002806802.1|PREDICTED: LOW QUALITY PROTEIN: transcription factor COE4-like [Callithrix jacchus]	XP_002806802	1.147E-22	98	105.916	52	51	
ASU.Acar.G.8858	protein-tyrosine kinase 2-beta-like	55	gi|327288010|ref|XP_003228721.1|PREDICTED: protein-tyrosine kinase 2-beta-like [Anolis carolinensis]	XP_003228721	3.20512E-25	100	114.39	55	55	
ASU.Acar.G.8859	protein wnt-10a precursor	87	gi|54607193|ref|NP_001006590.1|protein Wnt-10a precursor [Gallus gallus]	NP_001006590	1.30873E-42	96	172.17	87	84	
ASU.Acar.G.8860	scaffold attachment factor b2	130	gi|224087706|ref|XP_002194170.1|PREDICTED: similar to mCG56863 [Taeniopygia guttata]	XP_002194170	1.37102E-31	90	135.576	85	77	
ASU.Acar.G.8877	ral guanine nucleotide dissociation stimulator-like 1-like	154	gi|71895265|ref|NP_001026442.1|ral guanine nucleotide dissociation stimulator-like 1 [Gallus gallus]	NP_001026442	4.90032E-29	51	127.487	179	93	
ASU.Acar.G.8878	PREDICTED: hypothetical protein LOC557848 [Danio rerio]	103	gi|326666040|ref|XP_686084.4|PREDICTED: hypothetical protein LOC557848 [Danio rerio]	XP_686084	4.12248E-4	47	44.2838	90	43	
ASU.Acar.G.8884	unconventional myosin-ic	56	gi|348537772|ref|XP_003456367.1|PREDICTED: myosin-Ic-like [Oreochromis niloticus]	XP_003456367	1.3016E-18	92	92.4337	55	51	
ASU.Acar.G.8887	low quality protein: voltage-dependent t-type calcium channel subunit alpha-1i-like	118	gi|296237965|ref|XP_002807993.1|PREDICTED: LOW QUALITY PROTEIN: voltage-dependent T-type calcium channel subunit alpha-1I-like [Callithrix jacchus]	XP_002807993	2.38177E-60	98	231.106	116	114	
ASU.Acar.G.8890	low quality protein: cytochrome b-c1 complex subunit mitochondrial-like	74	gi|327266028|ref|XP_003217809.1|PREDICTED: LOW QUALITY PROTEIN: cytochrome b-c1 complex subunit 1, mitochondrial-like [Anolis carolinensis]	XP_003217809	1.93545E-38	100	158.303	74	74	
ASU.Acar.G.8896	protein efr3 homolog b-like	74	gi|363732438|ref|XP_420019.3|PREDICTED: protein EFR3 homolog B-like [Gallus gallus]	XP_420019	6.25507E-21	100	100.138	50	50	
ASU.Acar.G.8919	testis expressed gene 14	53	gi|338711550|ref|XP_001917844.2|PREDICTED: testis-expressed protein 14 [Equus caballus]	XP_001917844	8.78467E-15	79	79.7221	53	42	
ASU.Acar.G.8922	ankyrin repeat domain-containing protein 57	208	gi|224097996|ref|XP_002191628.1|PREDICTED: similar to Ankyrin repeat domain-containing protein 57 [Taeniopygia guttata]	XP_002191628	3.37309E-27	62	122.479	137	85	
ASU.Acar.G.8927	c-type lectin domain family 2 member d-like	228	gi|327266382|ref|XP_003217985.1|PREDICTED: c-type lectin domain family 2 member D-like [Anolis carolinensis]	XP_003217985	2.94025E-110	85	398.667	228	194	
ASU.Acar.G.8930	large neutral amino acids transporter small subunit 1-like	109	gi|363747034|ref|XP_003643893.1|PREDICTED: large neutral amino acids transporter small subunit 1-like [Gallus gallus]	XP_003643893	7.82632E-48	85	189.504	109	93	
ASU.Acar.G.8931	enhancer of mrna-decapping protein 4-like	60	gi|327281369|ref|XP_003225421.1|PREDICTED: enhancer of mRNA-decapping protein 4-like [Anolis carolinensis]	XP_003225421	1.13453E-25	100	115.931	60	60	
ASU.Acar.G.8937	interleukin-13 receptor subunit alpha-1 isoform 2	146	gi|332861509|ref|XP_001134844.2|PREDICTED: interleukin-13 receptor subunit alpha-1 isoform 2 [Pan troglodytes]	XP_001134844	1.45753E-13	48	75.8702	143	69	
ASU.Acar.G.8939	methyltransferase mb3374	231	gi|118093267|ref|XP_001232694.1|PREDICTED: putative methyltransferase DDB_G0268948 isoform 1 [Gallus gallus]	XP_001232694	8.49385E-73	76	274.248	226	172	
ASU.Acar.G.8949	natural resistance-associated macrophage protein 1-like	67	gi|327260304|ref|XP_003214974.1|PREDICTED: natural resistance-associated macrophage protein 1-like [Anolis carolinensis]	XP_003214974	4.25845E-17	76	87.4261	64	49	
ASU.Acar.G.8969	platelet endothelial cell adhesion molecule-like	82	gi|326930925|ref|XP_003211588.1|PREDICTED: platelet endothelial cell adhesion molecule-like [Meleagris gallopavo]	XP_003211588	4.16092E-4	62	44.2838	53	33	
ASU.Acar.G.8976	bone morphogenetic protein 10	98	gi|224080738|ref|XP_002196610.1|PREDICTED: bone morphogenetic protein 10 [Taeniopygia guttata]	XP_002196610	2.27715E-18	65	91.6633	111	73	
ASU.Acar.G.9014	wd repeat-containing protein 62	193	gi|334328624|ref|XP_001370651.2|PREDICTED: WD repeat-containing protein 62 [Monodelphis domestica]	XP_001370651	2.81525E-83	90	308.531	194	175	
ASU.Acar.G.9015	unc-13 homolog b ( elegans)	123	gi|224090202|ref|XP_002190352.1|PREDICTED: unc-13 homolog B (C. elegans) [Taeniopygia guttata]	XP_002190352	3.29217E-54	85	210.69	123	105	
ASU.Acar.G.9029	protein unc-13 homolog a	121	gi|283837783|ref|NP_001025044.2|protein unc-13 homolog A [Mus musculus]	NP_001025044	1.64545E-45	95	181.8	98	94	
ASU.Acar.G.9031	phospholipase d1-like isoform 2	199	gi|348510797|ref|XP_003442931.1|PREDICTED: phospholipase D1-like isoform 2 [Oreochromis niloticus]	XP_003442931	2.99431E-14	85	79.337	47	40	
ASU.Acar.G.9037	chitinase-3-like protein 1-like	51	gi|327271293|ref|XP_003220422.1|PREDICTED: chitinase-3-like protein 1-like [Anolis carolinensis]	XP_003220422	5.91658E-11	76	67.0106	51	39	
ASU.Acar.G.9070	transferrin receptor ( cd71)	71	gi|224060605|ref|XP_002190347.1|PREDICTED: transferrin receptor (p90, CD71) [Taeniopygia guttata]	XP_002190347	2.09564E-16	71	85.1149	71	51	
ASU.Acar.G.9071	basement membrane-specific heparan sulfate proteoglycan core protein precursor	213	gi|94536813|ref|NP_001001876.1|basement membrane-specific heparan sulfate proteoglycan core protein precursor [Gallus gallus]	NP_001001876	6.80123E-95	78	347.436	213	168	
ASU.Acar.G.9073	glucosamine--fructose-6-phosphate aminotransferase	59	gi|7305085|ref|NP_038556.1|glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1 [Mus musculus]	NP_038556	1.44151E-12	94	72.4034	37	35	
ASU.Acar.G.9076	ras guanyl-releasing protein 2	133	gi|345314632|ref|XP_001519551.2|PREDICTED: RAS guanyl-releasing protein 2 [Ornithorhynchus anatinus]	XP_001519551	1.39878E-52	86	205.297	132	114	
ASU.Acar.G.9077	atp-binding cassette sub-family a member 12-like	65	gi|327260765|ref|XP_003215204.1|PREDICTED: ATP-binding cassette sub-family A member 12-like [Anolis carolinensis]	XP_003215204	2.75905E-32	100	137.887	65	65	
ASU.Acar.G.9084	rho guanine nucleotide exchange factor 10-like	58	gi|363741800|ref|XP_003642556.1|PREDICTED: Rho guanine nucleotide exchange factor (GEF) 10-like [Gallus gallus]	XP_003642556	7.64162E-22	89	103.219	58	52	
ASU.Acar.G.9089	rho guanine nucleotide exchange factor 10-like isoform 4	82	gi|108998393|ref|XP_001089707.1|PREDICTED: Rho guanine nucleotide exchange factor (GEF) 10-like isoform 4 [Macaca mulatta]	XP_001089707	1.42347E-20	100	98.9821	50	50	
ASU.Acar.G.9091	zinc finger protein 335	50	gi|311274980|ref|XP_003134524.1|PREDICTED: zinc finger protein 335 [Sus scrofa]	XP_003134524	3.7221E-5	60	47.7506	50	30	
ASU.Acar.G.9094	hyaluronan and proteoglycan link protein 3-like	92	gi|363737594|ref|XP_413868.3|PREDICTED: hyaluronan and proteoglycan link protein 3-like [Gallus gallus]	XP_413868	4.76408E-37	85	153.68	89	76	
ASU.Acar.G.9111	receptor accessory protein 3	143	gi|224052254|ref|XP_002187570.1|PREDICTED: receptor accessory protein 3 [Taeniopygia guttata]	XP_002187570	2.04696E-38	87	158.303	103	90	
ASU.Acar.G.9125	small g protein signaling modulator 1	181	gi|334327444|ref|XP_001378248.2|PREDICTED: small G protein signaling modulator 1 [Monodelphis domestica]	XP_001378248	3.85324E-89	90	327.791	181	163	
ASU.Acar.G.9136	neurobeachin-like protein 2	58	gi|334333658|ref|XP_003341748.1|PREDICTED: neurobeachin-like protein 2 [Monodelphis domestica]	XP_003341748	2.08101E-19	89	95.1301	58	52	
ASU.Acar.G.9142	uridine-cytidine kinase 1-like 1	57	gi|118100729|ref|XP_001234874.1|PREDICTED: uridine-cytidine kinase 1-like 1 [Gallus gallus]	XP_001234874	2.44397E-25	98	114.775	57	56	
ASU.Acar.G.9148	nadph oxidase 5-like	69	gi|189537273|ref|XP_001921894.1|PREDICTED: NADPH oxidase 5-like [Danio rerio]	XP_001921894	3.03192E-23	89	107.842	69	62	
ASU.Acar.G.9150	nucleoporin 188	98	gi|62644863|ref|XP_345336.2|PREDICTED: nucleoporin 188 [Rattus norvegicus]	XP_345336	1.86283E-20	57	98.5969	98	56	
ASU.Acar.G.9152	low quality protein: neurexin-2-alpha-like	100	gi|297267497|ref|XP_001118257.2|PREDICTED: neurexin-2-alpha [Macaca mulatta]	XP_001118257	6.9819E-52	99	202.986	100	99	
ASU.Acar.G.9157	insulin receptor isoform 1	75	gi|363743909|ref|XP_001233399.2|PREDICTED: insulin receptor isoform 1 [Gallus gallus]	XP_001233399	4.1867E-17	89	87.4261	49	44	
ASU.Acar.G.9158	gelsolin precursor	115	gi|45384386|ref|NP_990265.1|gelsolin precursor [Gallus gallus]	NP_990265	1.1959E-43	85	175.637	115	98	
ASU.Acar.G.9165	atpase family aaa domain-containing protein 3	79	gi|47498020|ref|NP_998849.1|ATPase family AAA domain-containing protein 3 [Xenopus (Silurana) tropicalis]	NP_998849	2.13599E-24	77	111.694	79	61	
ASU.Acar.G.9167	myotubularin-related protein 4	183	gi|147907244|ref|NP_001080273.1|myotubularin-related protein 4 [Xenopus laevis]	NP_001080273	5.86719E-8	74	58.151	35	26	
ASU.Acar.G.9174	ryanodine receptor 1-like	151	gi|301619845|ref|XP_002939294.1|PREDICTED: ryanodine receptor 1-like [Xenopus (Silurana) tropicalis]	XP_002939294	4.76358E-82	98	303.523	151	149	
ASU.Acar.G.9186	probable phospholipid-transporting atpase ik	73	gi|334326732|ref|XP_001371404.2|PREDICTED: probable phospholipid-transporting ATPase IK [Monodelphis domestica]	XP_001371404	2.30182E-23	93	108.227	63	59	
ASU.Acar.G.9200	fanconi anemia group j protein homolog	107	gi|326931537|ref|XP_003211885.1|PREDICTED: Fanconi anemia group J protein homolog [Meleagris gallopavo]	XP_003211885	4.80321E-21	70	100.523	97	68	
ASU.Acar.G.9204	fanconi anemia group m	115	gi|194207332|ref|XP_001915885.1|PREDICTED: LOW QUALITY PROTEIN: Fanconi anemia group M protein [Equus caballus]	XP_001915885	1.79535E-23	67	108.612	111	75	
ASU.Acar.G.9208	coatomer subunit alpha-like	176	gi|326935892|ref|XP_003213999.1|PREDICTED: coatomer subunit alpha-like [Meleagris gallopavo]	XP_003213999	5.58542E-98	100	357.066	176	176	
ASU.Acar.G.9209	formin-binding protein 1-like	109	gi|327270648|ref|XP_003220101.1|PREDICTED: formin-binding protein 1-like [Anolis carolinensis]	XP_003220101	5.59572E-54	90	209.92	109	99	
ASU.Acar.G.9214	semaphorin receptor	52	gi|327266324|ref|XP_003217956.1|PREDICTED: plexin-B1-like [Anolis carolinensis]	XP_003217956	1.60051E-24	100	112.079	52	52	
ASU.Acar.G.9215	cugbp elav-like family member 3-a	114	gi|147907254|ref|NP_001079936.1|CUGBP Elav-like family member 3-A [Xenopus laevis]	NP_001079936	1.42255E-28	100	125.561	60	60	
ASU.Acar.G.9217	serine threonine-protein kinase haspin	551	gi|118100261|ref|XP_425408.2|PREDICTED: serine/threonine-protein kinase haspin [Gallus gallus]	XP_425408	9.56628E-138	62	491.886	543	341	
ASU.Acar.G.9218	atp-binding cassette sub-family a member 3	86	gi|363739664|ref|XP_414701.3|PREDICTED: ATP-binding cassette sub-family A member 3 [Gallus gallus]	XP_414701	5.00727E-26	74	117.087	86	64	
ASU.Acar.G.9221	sushi domain-containing protein 4-like	70	gi|327262545|ref|XP_003216084.1|PREDICTED: sushi domain-containing protein 4-like [Anolis carolinensis]	XP_003216084	3.32961E-38	100	157.532	70	70	
ASU.Acar.G.9224	PREDICTED: B-cadherin [Gallus gallus]	100	gi|363738407|ref|XP_003642004.1|PREDICTED: B-cadherin [Gallus gallus]	XP_003642004	1.04331E-47	94	189.119	100	94	
ASU.Acar.G.9228	rrna methyltransferase 3-like	87	gi|327275748|ref|XP_003222634.1|PREDICTED: putative rRNA methyltransferase 3-like [Anolis carolinensis]	XP_003222634	4.98473E-34	86	143.665	87	75	
ASU.Acar.G.9230	sh3 domain and tetratricopeptide repeats-containing protein 1-like	227	gi|327278926|ref|XP_003224210.1|PREDICTED: SH3 domain and tetratricopeptide repeats-containing protein 1-like [Anolis carolinensis]	XP_003224210	1.44262E-117	94	422.935	227	215	
ASU.Acar.G.9231	paired amphipathic helix protein sin3b	188	gi|334327048|ref|XP_003340825.1|PREDICTED: paired amphipathic helix protein Sin3b [Monodelphis domestica]	XP_003340825	1.19551E-99	97	362.844	188	183	
ASU.Acar.G.9241	PREDICTED: hypothetical protein LOC100557975 [Anolis carolinensis]	241	gi|327282818|ref|XP_003226139.1|PREDICTED: hypothetical protein LOC100557975 [Anolis carolinensis]	XP_003226139	1.60031E-24	50	114.005	273	139	
ASU.Acar.G.9244	low quality protein: delphilin-like	51	gi|334333488|ref|XP_003341731.1|PREDICTED: LOW QUALITY PROTEIN: delphilin-like [Monodelphis domestica]	XP_003341731	5.7174E-14	88	77.0258	51	45	
ASU.Acar.G.9245	btb poz domain-containing protein kctd11-like	132	gi|194217611|ref|XP_001918180.1|PREDICTED: BTB/POZ domain-containing protein KCTD11-like [Equus caballus]	XP_001918180	1.04228E-39	74	162.54	132	98	
ASU.Acar.G.9246	transmembrane protein c16orf54-like	140	gi|354496111|ref|XP_003510171.1|PREDICTED: transmembrane protein C16orf54 homolog [Cricetulus griseus]	XP_003510171	7.6332E-11	39	66.6254	189	74	
ASU.Acar.G.9250	crumbs homolog 2-like	55	gi|327290199|ref|XP_003229811.1|PREDICTED: crumbs homolog 2-like [Anolis carolinensis]	XP_003229811	8.70816E-31	100	132.88	55	55	
ASU.Acar.G.9259	vomeronasal type-2 receptor 26-like	71	gi|327278254|ref|XP_003223877.1|PREDICTED: vomeronasal type-2 receptor 26-like [Anolis carolinensis]	XP_003223877	1.39917E-28	91	125.561	71	65	
ASU.Acar.G.9262	low quality protein: myosin-ixb-like	86	gi|344282646|ref|XP_003413084.1|PREDICTED: LOW QUALITY PROTEIN: myosin-IXb-like [Loxodonta africana]	XP_003413084	7.76102E-11	52	66.6254	90	47	
ASU.Acar.G.9263	chloride transport protein 6	181	gi|344283501|ref|XP_003413510.1|PREDICTED: chloride transport protein 6 [Loxodonta africana]	XP_003413510	2.19308E-76	99	285.419	140	139	
ASU.Acar.G.9264	trinucleotide repeat-containing gene 18 protein	79	gi|363739553|ref|XP_001233346.2|PREDICTED: trinucleotide repeat-containing gene 18 protein [Gallus gallus]	XP_001233346	5.06047E-42	100	170.244	79	79	
ASU.Acar.G.9269	low quality protein: beta-klotho-like	372	gi|327273241|ref|XP_003221389.1|PREDICTED: LOW QUALITY PROTEIN: beta-klotho-like [Anolis carolinensis]	XP_003221389	0.0	96	741.11	372	360	
ASU.Acar.G.9286	inositol oxygenase-like	54	gi|326911004|ref|XP_003201853.1|PREDICTED: inositol oxygenase-like [Meleagris gallopavo]	XP_003201853	2.01636E-19	90	95.1301	52	47	
ASU.Acar.G.9297	filamin-c isoform 5	199	gi|301604496|ref|XP_002931888.1|PREDICTED: filamin-C isoform 5 [Xenopus (Silurana) tropicalis]	XP_002931888	2.16469E-97	89	355.525	199	179	
ASU.Acar.G.9298	secretory carrier-associated membrane protein 4-like	93	gi|344307008|ref|XP_003422174.1|PREDICTED: secretory carrier-associated membrane protein 4-like [Loxodonta africana]	XP_003422174	2.45837E-9	80	61.6178	40	32	
ASU.Acar.G.9300	extracellular matrix protein fras1-like	58	gi|327274246|ref|XP_003221889.1|PREDICTED: extracellular matrix protein FRAS1-like [Anolis carolinensis]	XP_003221889	1.87784E-28	100	125.176	58	58	
ASU.Acar.G.9312	tbc1 domain family member 2a	117	gi|326935380|ref|XP_003213750.1|PREDICTED: TBC1 domain family member 2A-like [Meleagris gallopavo]	XP_003213750	5.36803E-28	83	123.635	79	66	
ASU.Acar.G.9315	extracellular matrix protein fras1-like	54	gi|326918454|ref|XP_003205503.1|PREDICTED: extracellular matrix protein FRAS1-like [Meleagris gallopavo]	XP_003205503	1.07414E-4	51	46.2098	54	28	
ASU.Acar.G.9319	seizure protein 6 homolog precursor	105	gi|118151128|ref|NP_001071486.1|seizure protein 6 homolog precursor [Bos taurus]	NP_001071486	1.00146E-34	74	145.976	112	83	
ASU.Acar.G.9322	u4 tri-snrnp-associated protein 1-like	120	gi|109105448|ref|XP_001118067.1|PREDICTED: u4/U6.U5 tri-snRNP-associated protein 1-like [Macaca mulatta]	XP_001118067	5.28116E-60	98	229.95	117	115	
ASU.Acar.G.9328	tfiih basal transcription factor complex helicase subunit isoform 2	96	gi|296234101|ref|XP_002762285.1|PREDICTED: TFIIH basal transcription factor complex helicase subunit isoform 2 [Callithrix jacchus]	XP_002762285	4.72541E-48	97	190.274	96	94	
ASU.Acar.G.9330	maguk p55 subfamily member 4-like	83	gi|327285330|ref|XP_003227387.1|PREDICTED: MAGUK p55 subfamily member 4-like [Anolis carolinensis]	XP_003227387	1.32328E-34	85	145.591	83	71	
ASU.Acar.G.9333	protein unc-13 homolog a	210	gi|363743685|ref|XP_428042.3|PREDICTED: LOW QUALITY PROTEIN: protein unc-13 homolog A-like, partial [Gallus gallus]	XP_428042	5.98693E-80	97	297.745	151	147	
ASU.Acar.G.9340	cyclic nucleotide-gated cation channel beta-1-like	69	gi|363737990|ref|XP_001231878.2|PREDICTED: cyclic nucleotide-gated cation channel beta-1 [Gallus gallus]	XP_001231878	1.83514E-28	84	125.176	69	58	
