ASU Unmapped Transcript ID	RefSeq Gene Description	ASU_Acar Sequence Length (bp)	Best RefSeq Hit Description	NCBI RefSeq ID	E-Value	Percent Similarity	Blast Score	Alignment Length (amino acids)	Positives Matches (amino acids)
a30473	cytoskeleton-associated protein 5	2555	gi|327259641|ref|XP_003214644.1|PREDICTED: cytoskeleton-associated protein 5 [Anolis carolinensis]	XP_003214644	1.95517E-59	100	232.646	133	133	
a3048	sodium channel and clathrin linker 1	1461	gi|327290286|ref|XP_003229854.1|PREDICTED: sodium channel and clathrin linker 1-like [Anolis carolinensis]	XP_003229854	6.16588E-78	98	293.123	169	167	
a30483	intercellular adhesion molecule 5-like	823	gi|354475205|ref|XP_003499820.1|PREDICTED: intercellular adhesion molecule 5 [Cricetulus griseus]	XP_003499820	1.02625E-13	57	78.5666	95	55	
a3051	39s ribosomal protein mitochondrial-like	2125	gi|327269673|ref|XP_003219617.1|PREDICTED: 39S ribosomal protein L53, mitochondrial-like [Anolis carolinensis]	XP_003219617	3.89387E-50	92	201.445	114	105	
a30517	serine threonine-protein kinase ulk2	371	gi|217330557|ref|NP_055498.3|serine/threonine-protein kinase ULK2 [Homo sapiens]	NP_055498	1.89619E-18	55	92.0485	118	66	
a30530	centrosomal protein c10orf90	447	gi|332257477|ref|XP_003277831.1|PREDICTED: uncharacterized protein C10orf90-like [Nomascus leucogenys]	XP_003277831	4.99917E-10	52	64.3142	113	59	
a305316	ribonuclease p protein subunit p40	375	gi|327290895|ref|XP_003230157.1|PREDICTED: ribonuclease P protein subunit p40-like [Anolis carolinensis]	XP_003230157	2.4649E-26	98	118.242	59	58	
a30544	transformation transcription domain-associated protein	625	gi|118097713|ref|XP_414752.2|PREDICTED: transformation/transcription domain-associated protein [Gallus gallus]	XP_414752	1.66386E-27	88	123.635	76	67	
a3055	ral guanine nucleotide dissociation stimulator-like 1	2204	gi|71895265|ref|NP_001026442.1|ral guanine nucleotide dissociation stimulator-like 1 [Gallus gallus]	NP_001026442	0.0	72	743.421	623	454	
a30585	carboxypeptidase d	668	gi|344290244|ref|XP_003416848.1|PREDICTED: carboxypeptidase D [Loxodonta africana]	XP_003416848	3.46287E-61	79	235.728	187	149	
a305948	splicing arginine serine-rich 19	516	gi|327276034|ref|XP_003222776.1|PREDICTED: hypothetical protein LOC100567664 [Anolis carolinensis]	XP_003222776	4.45038E-34	100	144.821	97	97	
a30605	u3 small nucleolar rna-associated protein 15 homolog	422	gi|327262993|ref|XP_003216306.1|PREDICTED: u3 small nucleolar RNA-associated protein 15 homolog isoform 1 [Anolis carolinensis]	XP_003216306	7.11358E-42	98	169.859	87	86	
a30606	sodium potassium-transporting atpase subunit beta-2-like	657	gi|301778207|ref|XP_002924482.1|PREDICTED: sodium/potassium-transporting ATPase subunit beta-2-like [Ailuropoda melanoleuca]	XP_002924482	1.73002E-17	92	90.5077	53	49	
a306134	tumor necrosis factor receptor superfamily member 19l	322	gi|338727028|ref|XP_001917488.2|PREDICTED: LOW QUALITY PROTEIN: tumor necrosis factor receptor superfamily member 19L-like [Equus caballus]	XP_001917488	1.72475E-11	65	68.9366	52	34	
a30620	myosin-if	350	gi|326934333|ref|XP_003213245.1|PREDICTED: myosin-If-like [Meleagris gallopavo]	XP_003213245	1.80423E-16	90	85.5001	50	45	
a3063	camp-dependent protein kinase catalytic subunit alpha	1427	gi|334349625|ref|XP_001381342.2|PREDICTED: cAMP-dependent protein kinase catalytic subunit alpha-like [Monodelphis domestica]	XP_001381342	0.0	98	682.559	348	342	
a30635	probable carboxypeptidase pm20d1-like	464	gi|71895489|ref|NP_001026086.1|probable carboxypeptidase PM20D1 precursor [Gallus gallus]	NP_001026086	3.27274E-58	84	224.557	153	129	
a3064	spermatogenesis-associated protein 1	1515	gi|118094455|ref|XP_422374.2|PREDICTED: spermatogenesis-associated protein 1 [Gallus gallus]	XP_422374	4.69445E-36	90	154.066	92	83	
a30642	epidermal growth factor receptor kinase substrate 8-like protein 1	466	gi|327282368|ref|XP_003225915.1|PREDICTED: epidermal growth factor receptor kinase substrate 8-like protein 1-like [Anolis carolinensis]	XP_003225915	1.52732E-39	82	162.54	99	82	
a30663	-dihydroxyvitamin d 24- mitochondrial-like	893	gi|348540261|ref|XP_003457606.1|PREDICTED: hypothetical protein LOC100707133 [Oreochromis niloticus]	XP_003457606	4.47844E-13	39	76.6406	289	113	
a3068	ectonucleoside triphosphate diphosphohydrolase 6	965	gi|326915062|ref|XP_003203840.1|PREDICTED: ectonucleoside triphosphate diphosphohydrolase 6-like [Meleagris gallopavo]	XP_003203840	1.13319E-105	82	384.415	297	246	
a30686	phosphatidylinositol n-acetylglucosaminyltransferase subunit q	611	gi|326929404|ref|XP_003210855.1|PREDICTED: phosphatidylinositol N-acetylglucosaminyltransferase subunit Q-like [Meleagris gallopavo]	XP_003210855	7.55459E-62	95	237.654	168	161	
a30697	protein nlrc5	1458	gi|363737977|ref|XP_003641933.1|PREDICTED: protein NLRC5-like [Gallus gallus]	XP_003641933	6.7079E-8	67	60.4622	59	40	
a306998	potassium sodium hyperpolarization-activated cyclic nucleotide-gated channel 2-like	306	gi|338728768|ref|XP_003365749.1|PREDICTED: potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2-like, partial [Equus caballus]	XP_003365749	8.89709E-32	97	136.346	69	67	
a30718	retrotransposable element tf2 155 kda protein type 1-like	2458	gi|327278749|ref|XP_003224123.1|PREDICTED: retrotransposable element Tf2 155 kDa protein type 1-like [Anolis carolinensis]	XP_003224123	0.0	76	769.229	608	466	
a30720	PREDICTED: hypothetical protein LOC100562523 [Anolis carolinensis]	896	gi|327291207|ref|XP_003230313.1|PREDICTED: hypothetical protein LOC100562523 [Anolis carolinensis]	XP_003230313	2.91267E-20	100	100.523	47	47	
a30749	centromere protein v	905	gi|118100257|ref|XP_415846.2|PREDICTED: centromere protein V [Gallus gallus]	XP_415846	3.02315E-65	88	249.98	138	122	
a30753	chondroitin sulfate proteoglycan 5-like	505	gi|350591169|ref|XP_003483220.1|PREDICTED: chondroitin sulfate proteoglycan 5-like [Sus scrofa]	XP_003483220	2.84168E-22	88	105.531	62	55	
a307592	protein fam196a-like	330	gi|327267646|ref|XP_003218610.1|PREDICTED: protein FAM196A-like [Anolis carolinensis]	XP_003218610	2.2268E-27	98	121.709	60	59	
a3076	mitochondrial import receptor subunit tom70	1095	gi|326912988|ref|XP_003202825.1|PREDICTED: mitochondrial import receptor subunit TOM70-like [Meleagris gallopavo]	XP_003202825	3.85206E-108	97	392.889	246	239	
a30795	low quality protein: pantothenate kinase mitochondrial-like	2243	gi|224050303|ref|XP_002189710.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002189710	9.54952E-180	80	632.098	420	338	
a3080	barrier-to-autointegration factor	707	gi|109105355|ref|XP_001111924.1|PREDICTED: barrier-to-autointegration factor-like isoform 4 [Macaca mulatta]	XP_001111924	1.01858E-45	100	184.496	89	89	
a30805	vacuolar protein sorting-associated protein 13d	473	gi|326932532|ref|XP_003212369.1|PREDICTED: vacuolar protein sorting-associated protein 13D-like isoform 2 [Meleagris gallopavo]	XP_003212369	3.67099E-15	65	81.6481	81	53	
a3081	echinoderm microtubule associated protein like 4	4456	gi|118087936|ref|XP_001233827.1|PREDICTED: echinoderm microtubule associated protein like 4 [Gallus gallus]	XP_001233827	0.0	93	1402.5	758	710	
a30814	type ii cytoskeletal 75-like	649	gi|301612553|ref|XP_002935776.1|PREDICTED: keratin, type II cytoskeletal-like [Xenopus (Silurana) tropicalis]	XP_002935776	7.68744E-63	88	241.121	172	152	
a30819	lipid phosphate phosphatase-related protein type 3-like	2351	gi|149634397|ref|XP_001507095.1|PREDICTED: lipid phosphate phosphatase-related protein type 3-like [Ornithorhynchus anatinus]	XP_001507095	1.01643E-30	98	137.117	66	65	
a308236	fermitin family homolog 1	390	gi|327261079|ref|XP_003215359.1|PREDICTED: LOW QUALITY PROTEIN: fermitin family homolog 1-like [Anolis carolinensis]	XP_003215359	2.87316E-38	100	157.918	87	87	
a30824	dna-directed rna polymerase ii subunit rpb9-like	674	gi|296233627|ref|XP_002762104.1|PREDICTED: DNA-directed RNA polymerase II subunit RPB9-like [Callithrix jacchus]	XP_002762104	2.60539E-72	99	272.707	126	125	
a3083	heterogeneous nuclear ribonucleoprotein m-like	2969	gi|326934244|ref|XP_003213202.1|PREDICTED: heterogeneous nuclear ribonucleoprotein M-like [Meleagris gallopavo]	XP_003213202	0.0	70	744.577	645	454	
a30837	zinc finger protein 366	509	gi|327263124|ref|XP_003216371.1|PREDICTED: zinc finger protein 366-like [Anolis carolinensis]	XP_003216371	3.62686E-41	98	168.318	80	79	
a3089	transcription activator brg1 isoform 2	2397	gi|192807316|ref|NP_001122318.1|transcription activator BRG1 isoform D [Homo sapiens]	NP_001122318	0.0	80	1149.81	752	607	
a3091	general transcription factor ii-i	3123	gi|334324782|ref|XP_001363207.2|PREDICTED: general transcription factor II-I isoform 1 [Monodelphis domestica]	XP_001363207	0.0	81	1038.1	744	607	
a3092	peptidyl-prolyl cis-trans isomerase cwc27 homolog	1380	gi|149732694|ref|XP_001493132.1|PREDICTED: peptidyl-prolyl cis-trans isomerase CWC27 homolog isoform 1 [Equus caballus]	XP_001493132	6.92862E-116	83	419.083	356	297	
a30936	outer dense fiber protein 2	1406	gi|61098304|ref|NP_001012817.1|outer dense fiber protein 2 [Gallus gallus]	NP_001012817	1.58893E-107	82	391.349	339	281	
a30943	splicing arginine serine-rich 6	481	gi|148224986|ref|NP_001080148.1|splicing factor, arginine/serine-rich 6 [Xenopus laevis]	NP_001080148	3.71368E-10	62	65.0846	95	59	
a31005	phosphatidylinositol glycan anchor class o	611	gi|149739337|ref|XP_001504590.1|PREDICTED: GPI ethanolamine phosphate transferase 3 isoform 1 [Equus caballus]	XP_001504590	3.93429E-10	91	65.855	37	34	
a31018	armadillo repeat protein deleted in velo-cardio-facial syndrome homolog	720	gi|147905646|ref|NP_001082029.1|armadillo repeat gene deletes in velo-cardio-facial syndrome [Xenopus laevis]	NP_001082029	1.21683E-9	89	64.6994	37	33	
a31026	antigen peptide transporter 1-like	3489	gi|327289962|ref|XP_003229693.1|PREDICTED: antigen peptide transporter 1-like [Anolis carolinensis]	XP_003229693	5.32734E-119	99	431.024	233	232	
a31039	afg3-like protein 2	1362	gi|162287285|ref|NP_001104667.1|AFG3-like protein 2 [Danio rerio]	NP_001104667	1.40634E-28	100	129.028	67	67	
a31048	retrotransposable element tf2 155 kda protein type 1-like	576	gi|326681142|ref|XP_003201727.1|PREDICTED: retrotransposable element Tf2 155 kDa protein type 1-like [Danio rerio]	XP_003201727	2.37655E-19	58	96.2857	107	63	
a31062	thyrotropin-releasing hormone-degrading ectoenzyme	1098	gi|338721090|ref|XP_001488066.2|PREDICTED: thyrotropin-releasing hormone-degrading ectoenzyme [Equus caballus]	XP_001488066	1.45372E-30	92	135.191	78	72	
a31089	gastrokine-2-like	443	gi|50759498|ref|XP_417666.1|PREDICTED: gastrokine-2 [Gallus gallus]	XP_417666	4.86406E-10	72	64.3142	55	40	
a31098	sulfatase-modifying factor 2-like	576	gi|224076261|ref|XP_002196165.1|PREDICTED: sulfatase modifying factor 2 isoform 2 [Taeniopygia guttata]	XP_002196165	1.94865E-13	49	76.6406	102	50	
a31104	gtpase imap family member 4-like	987	gi|327269296|ref|XP_003219430.1|PREDICTED: GTPase IMAP family member 4-like [Anolis carolinensis]	XP_003219430	1.52605E-4	70	48.521	37	26	
a31136	palladin isoform 3	2422	gi|327278025|ref|XP_003223763.1|PREDICTED: palladin-like [Anolis carolinensis]	XP_003223763	9.45157E-56	90	220.32	139	126	
a311656	nicotinamide n-methyltransferase-like	346	gi|327288230|ref|XP_003228831.1|PREDICTED: nicotinamide N-methyltransferase-like [Anolis carolinensis]	XP_003228831	4.03816E-16	100	84.3445	37	37	
a31167	zinc finger bed domain-containing protein 4-like	616	gi|327289521|ref|XP_003229473.1|PREDICTED: hypothetical protein LOC100560411 [Anolis carolinensis]	XP_003229473	1.14466E-49	69	197.208	204	141	
a31189	non-muscle caldesmon	462	gi|21704156|ref|NP_663550.1|caldesmon 1 [Mus musculus]	NP_663550	3.55695E-33	100	141.354	90	90	
a312061	cathepsin h-like	380	gi|363737841|ref|XP_001232765.2|PREDICTED: pro-cathepsin H [Gallus gallus]	XP_001232765	2.71232E-25	89	114.775	67	60	
a31211	tropomyosin beta chain-like isoform 2	333	gi|109111078|ref|XP_001086852.1|PREDICTED: tropomyosin beta chain isoform 2 [Macaca mulatta]	XP_001086852	4.61104E-41	83	167.162	104	87	
a312198	atp-binding cassette sub-family a member 1	484	gi|363743792|ref|XP_001233948.2|PREDICTED: ATP-binding cassette sub-family A member 1-like [Gallus gallus]	XP_001233948	1.76839E-28	84	125.946	88	74	
a31229	low quality protein: titin-like	394	gi|293357883|ref|XP_575155.3|PREDICTED: titin [Rattus norvegicus]	XP_575155	1.32527E-51	97	202.216	98	96	
a31235	sodium-dependent multivitamin transporter-like	630	gi|348574379|ref|XP_003472968.1|PREDICTED: sodium-dependent multivitamin transporter-like [Cavia porcellus]	XP_003472968	1.82563E-13	88	77.0258	43	38	
a31239	histidine protein methyltransferase 1 homolog	694	gi|224058870|ref|XP_002190379.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002190379	7.48017E-38	80	158.303	109	88	
a312478	phosphatidylinositol-4-phosphate 3-kinase c2 domain-containing subunit beta	442	gi|332811704|ref|XP_514126.3|PREDICTED: LOW QUALITY PROTEIN: phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit beta [Pan troglodytes]	XP_514126	1.00734E-39	96	162.925	84	81	
a31255	methionine aminopeptidase mitochondrial-like	1589	gi|301628939|ref|XP_002943606.1|PREDICTED: 30S ribosomal protein S13-like [Xenopus (Silurana) tropicalis]	XP_002943606	3.60404E-18	51	94.7449	151	78	
a31257	metabotropic glutamate receptor 8	559	gi|327273169|ref|XP_003221353.1|PREDICTED: metabotropic glutamate receptor 8-like [Anolis carolinensis]	XP_003221353	2.87072E-59	98	228.794	103	101	
a31263	hypothetical protein BRAFLDRAFT_126439, partial [Branchiostoma floridae]	5932	gi|260822267|ref|XP_002606524.1|hypothetical protein BRAFLDRAFT_126439, partial [Branchiostoma floridae]	XP_002606524	4.09045E-5	40	53.5286	436	176	
a312807	serine threonine-protein kinase dclk3-like	329	gi|327275075|ref|XP_003222299.1|PREDICTED: serine/threonine-protein kinase DCLK3-like [Anolis carolinensis]	XP_003222299	5.14554E-16	89	83.9593	73	65	
a31283	major prion protein homolog	413	gi|327284127|ref|XP_003226790.1|PREDICTED: major prion protein homolog [Anolis carolinensis]	XP_003226790	1.50467E-15	100	82.4185	37	37	
a31297	ninein isoform 1	7020	gi|363735030|ref|XP_426482.3|PREDICTED: ninein [Gallus gallus]	XP_426482	0.0	70	1722.6	2018	1420	
a313035	85 kda calcium-independent phospholipase a2	402	gi|224095191|ref|XP_002195810.1|PREDICTED: phospholipase A2, group VI (cytosolic, calcium-independent) [Taeniopygia guttata]	XP_002195810	8.88689E-24	73	109.768	86	63	
a31326	tubulin beta-5 chain-like	661	gi|338728051|ref|XP_001491445.3|PREDICTED: tubulin beta-5 chain-like [Equus caballus]	XP_001491445	5.26103E-14	85	78.9518	48	41	
a31328	short transient receptor potential channel 2-like	2440	gi|363729268|ref|XP_003640621.1|PREDICTED: short transient receptor potential channel 2-like [Gallus gallus]	XP_003640621	1.28281E-68	57	263.077	420	240	
a31330	endoplasmin precursor	1005	gi|332241648|ref|XP_003269991.1|PREDICTED: endoplasmin-like [Nomascus leucogenys]	XP_003269991	6.13049E-142	97	504.982	297	291	
a313453	ornithine decarboxylase antizyme 1	323	gi|56790949|ref|NP_990247.1|ornithine decarboxylase antizyme 1 [Gallus gallus]	NP_990247	4.82702E-22	96	103.99	57	55	
a313619	exportin-4	380	gi|327269030|ref|XP_003219298.1|PREDICTED: exportin-4-like [Anolis carolinensis]	XP_003219298	1.34299E-32	98	139.043	72	71	
a313677	exportin-6 isoform 2	475	gi|326929341|ref|XP_003210825.1|PREDICTED: exportin-6-like [Meleagris gallopavo]	XP_003210825	4.33641E-16	68	84.7297	110	75	
a313684	carbohydrate sulfotransferase 2	356	gi|327267005|ref|XP_003218293.1|PREDICTED: carbohydrate sulfotransferase 2-like [Anolis carolinensis]	XP_003218293	2.2612E-27	100	121.709	59	59	
a31380	PREDICTED: uncharacterized protein LOC100857505 [Gallus gallus]	799	gi|363729350|ref|XP_003640634.1|PREDICTED: uncharacterized protein LOC100857505 [Gallus gallus]	XP_003640634	5.76731E-6	64	52.7582	68	44	
a31395	low quality protein: myosin-xv	725	gi|363739565|ref|XP_414818.3|PREDICTED: LOW QUALITY PROTEIN: myosin-XV [Gallus gallus]	XP_414818	9.66676E-55	64	214.542	208	135	
a31396	ubx domain containing partial	606	gi|198413341|ref|XP_002123311.1|PREDICTED: similar to UBX domain containing 8, partial [Ciona intestinalis]	XP_002123311	4.39672E-6	46	52.373	147	68	
a31409	25-hydroxycholesterol 7-alpha-hydroxylase-like	576	gi|327269725|ref|XP_003219643.1|PREDICTED: 25-hydroxycholesterol 7-alpha-hydroxylase-like [Anolis carolinensis]	XP_003219643	1.35262E-6	71	53.9138	46	33	
a314205	atp-binding cassette sub-family g member 2	315	gi|327273043|ref|XP_003221292.1|PREDICTED: ATP-binding cassette sub-family G member 2-like [Anolis carolinensis]	XP_003221292	5.01784E-27	98	120.553	64	63	
a31424	protein spinster homolog 2	1123	gi|363741250|ref|XP_415740.3|PREDICTED: protein spinster homolog 2-like [Gallus gallus]	XP_415740	8.86691E-7	74	56.225	39	29	
a31435	s phase cyclin a-associated protein in the endoplasmic reticulum	1521	gi|327283412|ref|XP_003226435.1|PREDICTED: S phase cyclin A-associated protein in the endoplasmic reticulum-like [Anolis carolinensis]	XP_003226435	4.93804E-110	100	399.823	198	198	
a314371	peroxisomal membrane protein 11c-like	306	gi|348523213|ref|XP_003449118.1|PREDICTED: peroxisomal membrane protein 11C-like [Oreochromis niloticus]	XP_003449118	3.75539E-14	85	77.7962	61	52	
a31440	zinc finger protein 238-like	2477	gi|327280999|ref|XP_003225238.1|PREDICTED: zinc finger protein 238-like [Anolis carolinensis]	XP_003225238	0.0	90	876.7	487	442	
a31441	zinc finger ccch domain-containing protein 13	3620	gi|293357412|ref|XP_227373.5|PREDICTED: trichohyalin [Rattus norvegicus]	XP_227373	9.72087E-31	38	137.887	1204	462	
a31449	3-hydroxyacyl- dehydrogenase type-2	1481	gi|62858101|ref|NP_001016511.1|hydroxysteroid (17-beta) dehydrogenase 10 [Xenopus (Silurana) tropicalis]	NP_001016511	2.61665E-108	92	394.045	229	211	
a31462	PREDICTED: hypothetical protein LOC720488 [Macaca mulatta]	836	gi|297280567|ref|XP_001115971.2|PREDICTED: hypothetical protein LOC720488 [Macaca mulatta]	XP_001115971	7.61418E-4	48	45.8246	158	76	
a31473	dual specificity protein phosphatase 4	535	gi|327267521|ref|XP_003218549.1|PREDICTED: dual specificity protein phosphatase 5-like [Anolis carolinensis]	XP_003218549	2.4299E-49	83	195.667	124	103	
a31478	solute carrier organic anion transporter family member 3a1-like	1483	gi|327266102|ref|XP_003217845.1|PREDICTED: hypothetical protein LOC100565424 [Anolis carolinensis]	XP_003217845	4.44509E-7	85	57.7658	49	42	
a314809	membrane-associated transporter protein	377	gi|16716355|ref|NP_444307.1|membrane-associated transporter protein [Mus musculus]	NP_444307	4.1945E-26	83	117.472	79	66	
a31548	tropomyosin alpha-1 chain-like isoform 5	542	gi|109081405|ref|XP_001104296.1|PREDICTED: tropomyosin alpha-4 chain isoform 21 [Macaca mulatta]	XP_001104296	2.03159E-75	100	282.337	165	165	
a31551	zinc finger bed domain-containing protein 4	459	gi|327289521|ref|XP_003229473.1|PREDICTED: hypothetical protein LOC100560411 [Anolis carolinensis]	XP_003229473	2.22829E-43	76	175.252	153	117	
a316171	zinc transporter zip10	596	gi|327280736|ref|XP_003225107.1|PREDICTED: zinc transporter ZIP10-like [Anolis carolinensis]	XP_003225107	6.80614E-36	100	151.369	74	74	
a3162	zinc finger protein 658-like	424	gi|327287748|ref|XP_003228590.1|PREDICTED: zinc finger protein 709-like [Anolis carolinensis]	XP_003228590	3.73711E-75	97	280.411	132	129	
a31622	probable g-protein coupled receptor 157	377	gi|345800773|ref|XP_850584.2|PREDICTED: probable G-protein coupled receptor 157 [Canis lupus familiaris]	XP_850584	1.07162E-13	67	76.2554	77	52	
a31668	btb poz domain-containing protein 19-like	762	gi|327271075|ref|XP_003220313.1|PREDICTED: BTB/POZ domain-containing protein 19-like [Anolis carolinensis]	XP_003220313	2.22254E-4	68	47.3654	41	28	
a31669	ubiquitin carboxyl-terminal hydrolase 33	2001	gi|327276737|ref|XP_003223124.1|PREDICTED: ubiquitin carboxyl-terminal hydrolase 33-like isoform 2 [Anolis carolinensis]	XP_003223124	4.16748E-22	100	108.227	52	52	
a316753	chorion-specific transcription factor gcma	427	gi|334323998|ref|XP_001370898.2|PREDICTED: chorion-specific transcription factor GCMa-like [Monodelphis domestica]	XP_001370898	9.6797E-10	46	63.1586	130	61	
a31689	polyadenylate-binding protein 1	582	gi|327283838|ref|XP_003226647.1|PREDICTED: polyadenylate-binding protein 1-like [Anolis carolinensis]	XP_003226647	9.99284E-106	100	383.259	193	193	
a3170	rna-binding protein raly-like	1488	gi|327271660|ref|XP_003220605.1|PREDICTED: RNA-binding protein Raly-like [Anolis carolinensis]	XP_003220605	5.46345E-5	45	50.8322	144	66	
a31723	upf0505 protein c16orf62 homolog	854	gi|224070599|ref|XP_002197964.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002197964	1.95964E-95	91	350.132	234	215	
a31740	homeobox protein hox-c4-like isoform 2	468	gi|327275883|ref|XP_003222701.1|PREDICTED: homeobox protein Hox-B4-like [Anolis carolinensis]	XP_003222701	1.41429E-40	100	166.007	75	75	
a317541	transmembrane protein 68-like	441	gi|327279206|ref|XP_003224348.1|PREDICTED: transmembrane protein 68-like [Anolis carolinensis]	XP_003224348	7.94471E-53	100	206.453	99	99	
a31766	tetraspanin-6	855	gi|118089473|ref|XP_420247.2|PREDICTED: tetraspanin-6 [Gallus gallus]	XP_420247	4.78479E-9	71	63.1586	53	38	
a31767	interferon regulatory factor 4	627	gi|224078210|ref|XP_002196747.1|PREDICTED: interferon regulatory factor 10 [Taeniopygia guttata]	XP_002196747	4.58147E-25	82	115.546	69	57	
a31793	disintegrin and metalloproteinase domain-containing protein 10 precursor	4745	gi|327286801|ref|XP_003228118.1|PREDICTED: disintegrin and metalloproteinase domain-containing protein 10-like [Anolis carolinensis]	XP_003228118	0.0	94	1389.4	738	696	
a3180	dehydrogenase reductase sdr family member 13-like	631	gi|45361469|ref|NP_989311.1|dehydrogenase/reductase (SDR family) member 13 [Xenopus (Silurana) tropicalis]	NP_989311	4.34531E-15	62	82.4185	82	51	
a318010	was wasl-interacting protein family member 1-like	397	gi|327283498|ref|XP_003226478.1|PREDICTED: WAS/WASL-interacting protein family member 1-like [Anolis carolinensis]	XP_003226478	4.16741E-5	60	47.7506	51	31	
a31819	PREDICTED: hypothetical protein LOC100707133 [Oreochromis niloticus]	318	gi|348540261|ref|XP_003457606.1|PREDICTED: hypothetical protein LOC100707133 [Oreochromis niloticus]	XP_003457606	2.25251E-19	63	95.1301	105	67	
a31843	nlr family card domain-containing protein 4-like	492	gi|327262377|ref|XP_003216001.1|PREDICTED: NLR family CARD domain-containing protein 4-like [Anolis carolinensis]	XP_003216001	7.19871E-4	65	44.2838	47	31	
a31858	PREDICTED: hypothetical protein LOC100486824 [Xenopus (Silurana) tropicalis]	2310	gi|301630401|ref|XP_002944310.1|PREDICTED: hypothetical protein LOC100486824 [Xenopus (Silurana) tropicalis]	XP_002944310	5.13191E-11	37	71.633	225	84	
a31865	zinc finger protein 420-like	372	gi|348540261|ref|XP_003457606.1|PREDICTED: hypothetical protein LOC100707133 [Oreochromis niloticus]	XP_003457606	2.73809E-17	67	88.1965	93	63	
a318742	pab-dependent poly -specific ribonuclease subunit 2 isoform 1	609	gi|327264373|ref|XP_003216988.1|PREDICTED: PAB-dependent poly(A)-specific ribonuclease subunit 2-like [Anolis carolinensis]	XP_003216988	1.47422E-17	100	90.5077	42	42	
a318952	gamma-enolase-like isoform 2	373	gi|147907170|ref|NP_001091239.1|uncharacterized protein LOC100037034 [Xenopus laevis]	NP_001091239	1.77478E-16	55	85.5001	124	69	
a31906	25-hydroxycholesterol 7-alpha-hydroxylase-like	3014	gi|327269725|ref|XP_003219643.1|PREDICTED: 25-hydroxycholesterol 7-alpha-hydroxylase-like [Anolis carolinensis]	XP_003219643	1.9505E-29	68	133.265	139	95	
a31921	uracil-dna glycosylase-like	1246	gi|73995344|ref|XP_543441.2|PREDICTED: uracil-DNA glycosylase [Canis lupus familiaris]	XP_543441	1.30083E-110	75	401.364	294	223	
a31931	heterogeneous nuclear ribonucleoprotein m-like	839	gi|326934244|ref|XP_003213202.1|PREDICTED: heterogeneous nuclear ribonucleoprotein M-like [Meleagris gallopavo]	XP_003213202	6.91454E-13	94	75.8702	38	36	
a31934	retrotransposable element tf2 155 kda protein type 1-like	488	gi|327268262|ref|XP_003218917.1|PREDICTED: sex comb on midleg-like protein 2-like [Anolis carolinensis]	XP_003218917	3.7062E-37	62	154.836	175	109	
a3196	PREDICTED: mucin-2-like [Xenopus (Silurana) tropicalis]	852	gi|301613154|ref|XP_002936080.1|PREDICTED: mucin-2-like [Xenopus (Silurana) tropicalis]	XP_002936080	2.06755E-4	35	47.7506	179	63	
a31980	uhrf1-binding protein 1-like	572	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	2.49367E-37	64	155.992	170	109	
a32005	PREDICTED: uncharacterized protein LOC776634 [Gallus gallus]	1434	gi|118086255|ref|XP_001236146.1|PREDICTED: uncharacterized protein LOC776634 [Gallus gallus]	XP_001236146	1.01175E-8	58	63.1586	90	53	
a320065	6-phosphofructokinase type c	427	gi|9790051|ref|NP_062677.1|6-phosphofructokinase type C [Mus musculus]	NP_062677	1.22165E-12	55	72.7886	108	60	
a32015	staga complex 65 subunit gamma	502	gi|118088017|ref|XP_419474.2|PREDICTED: STAGA complex 65 subunit gamma [Gallus gallus]	XP_419474	5.78862E-36	97	150.984	81	79	
a3203	60s ribosomal protein l18a-like	727	gi|348558842|ref|XP_003465225.1|PREDICTED: 60S ribosomal protein L18a-like [Cavia porcellus]	XP_003465225	8.40978E-75	96	281.182	157	152	
a32035	zinc finger protein 418-like	544	gi|327288660|ref|XP_003229044.1|PREDICTED: zinc finger protein 418-like [Anolis carolinensis]	XP_003229044	1.697E-5	71	50.0618	38	27	
a320404	elongation factor mitochondrial	333	gi|301631549|ref|XP_002944860.1|PREDICTED: elongation factor G-like [Xenopus (Silurana) tropicalis]	XP_002944860	4.34594E-15	68	80.8777	89	61	
a320437	dnaj homolog subfamily b member 5	437	gi|213512640|ref|NP_001134012.1|DnaJ homolog subfamily B member 14 [Salmo salar]	NP_001134012	1.52148E-16	49	85.8853	135	67	
a32059	heat shock protein hsp 90-beta	637	gi|332824260|ref|XP_001137889.2|PREDICTED: heat shock cognate protein HSP 90-beta-like isoform 1 [Pan troglodytes]	XP_001137889	4.21144E-82	73	305.064	212	156	
a3207	golgin subfamily b member 1	1324	gi|363734357|ref|XP_421078.3|PREDICTED: uncharacterized protein LOC423151 [Gallus gallus]	XP_421078	2.55271E-19	62	98.2117	161	100	
